80, 49800.0, 39200.0, 0.0, 89000.0, 1584.2, 0.22, U-21-40, False, False, 1.78, 7200.909090909091
1922, 29500.0, 109600.0, 0.0, 139100.0, 2475.98, 1.48, U-20-25, False, False, 1.78, 1672.9594594594596
3329, 35700.0, 99100.0, 20000.0, 114800.0, 2043.44, 1.36, R-10-74.1G, False, True, 1.78, 1502.5294117647059
529, 58000.0, 191500.0, 20000.0, 229500.0, 4085.1, 14.0, R-10-81, False, True, 1.78, 291.79285714285714
151, 101700.0, 80400.0, 0.0, 182100.0, 3241.38, 1.37, U-05-05, False, False, 1.78, 2365.970802919708
337, 14000.0, 0.0, 0.0, 14000.0, 249.2, 0.32, U-18-17, False, False, 1.78, 778.75
343, 53000.0, 109000.0, 20000.0, 142000.0, 2527.6, 12.0, R-16-04, False, True, 1.78, 210.63333333333333
347, 45500.0, 105700.0, 20000.0, 131200.0, 2335.36, 6.53, U-18-20, False, True, 1.78, 357.635528330781
352, 36400.0, 14800.0, 20000.0, 31200.0, 555.36, 1.68, R-10-22.3, False, True, 1.78, 330.5714285714286
3008, 33000.0, 7400.0, 20000.0, 20400.0, 363.12, 2.49, R-11-10.7, False, True, 1.78, 145.8313253012048
365, 32000.0, 64600.0, 0.0, 96600.0, 1719.48, 1.0, R-12-02, False, False, 1.78, 1719.48
206, 24800.0, 94100.0, 20000.0, 98900.0, 1760.42, 0.36, U-10-65, False, True, 1.78, 4890.055555555556
2933, 28000.0, 130400.0, 20000.0, 138400.0, 2463.52, 0.77, R-04-77.4, False, True, 1.78, 3199.3766233766232
1203, 22600.0, 99100.0, 20000.0, 101700.0, 1810.26, 0.26, U-08-53, False, True, 1.78, 6962.538461538461
3546, 35800.0, 50000.0, 26000.0, 59800.0, 1064.44, 1.4, R-14-27.2, False, True, 1.78, 760.3142857142858
1126, 56400.0, 166700.0, 20000.0, 203100.0, 3615.18, 6.68, R-05-25.25, False, True, 1.78, 541.1946107784431
401, 20500.0, 106900.0, 20000.0, 107400.0, 1911.72, 0.18, U-08-71, False, True, 1.78, 10620.666666666668
480, 20200.0, 6500.0, 0.0, 26700.0, 475.26, 0.17, U-10-76, False, False, 1.78, 2795.6470588235293
2469, 64600.0, 31200.0, 0.0, 95800.0, 1705.24, 34.6, U-02-02, False, False, 1.78, 49.28439306358381
2110, 37000.0, 110900.0, 0.0, 147900.0, 2632.62, 2.3, R-03-11.1, False, False, 1.78, 1144.6173913043478
1153, 35800.0, 0.0, 0.0, 35800.0, 637.24, 1.4, R-13-34.3B, False, False, 1.78, 455.17142857142863
451, 32000.0, 15900.0, 0.0, 47900.0, 852.62, 1.0, R-14-31.3, False, False, 1.78, 852.62
1958, 56600.0, 104800.0, 20000.0, 141400.0, 2516.92, 1.78, R-08-82.2, False, True, 1.78, 1414.0
437, 37600.0, 7200.0, 0.0, 44800.0, 797.44, 2.29, R-04-34.3, False, False, 1.78, 348.2270742358079
442, 27600.0, 108100.0, 0.0, 135700.0, 2415.46, 0.56, U-05-18, False, False, 1.78, 4313.321428571428
